0020	sp	SPACE	Uni.: 5.1; MUFI: 3.0
0021	excl	EXCLAMATION MARK	Uni.: 5.1; MUFI: 3.0
0022	quot	QUOTATION MARK	Uni.: 5.1; MUFI: 3.0
0023	num	NUMBER SIGN	Uni.: 5.1; MUFI: 3.0
0024	dollar	DOLLAR SIGN	Uni.: 5.1; MUFI: 3.0
0025	percnt	PERCENT SIGN	Uni.: 5.1; MUFI: 3.0
0026	amp	AMPERSAND	Uni.: 5.1; MUFI: 3.0
0027	apos	APOSTROPHE	Uni.: 5.1; MUFI: 3.0
0028	lpar	LEFT PARENTHESIS	Uni.: 5.1; MUFI: 3.0
0029	rpar	RIGHT PARENTHESIS	Uni.: 5.1; MUFI: 3.0
002A	ast	ASTERISK	Uni.: 5.1; MUFI: 3.0
002B	plus	PLUS SIGN	Uni.: 5.1; MUFI: 3.0
002C	comma	COMMA	Uni.: 5.1; MUFI: 3.0
002D	hyphen	HYPHEN-MINUS	Uni.: 5.1; MUFI: 3.0
002E	period	FULL STOP	Uni.: 5.1; MUFI: 3.0
002F	sol	SOLIDUS	Uni.: 5.1; MUFI: 3.0
003A	colon	COLON	Uni.: 5.1; MUFI: 3.0
003B	semi	SEMICOLON	Uni.: 5.1; MUFI: 3.0
003C	lt	LESS-THAN SIGN	Uni.: 5.1; MUFI: 3.0
003D	equals	EQUALS SIGN	Uni.: 5.1; MUFI: 3.0
003E	gt	GREATER-THAN SIGN	Uni.: 5.1; MUFI: 3.0
003F	quest	QUESTION MARK	Uni.: 5.1; MUFI: 3.0
0040	commat	COMMERCIAL AT	Uni.: 5.1; MUFI: 3.0
005B	lsqb	LEFT SQUARE BRACKET	Uni.: 5.1; MUFI: 3.0
005C	bsol	REVERSE SOLIDUS	Uni.: 5.1; MUFI: 3.0
005D	rsqb	RIGHT SQUARE BRACKET	Uni.: 5.1; MUFI: 3.0
005E	circ	CIRCUMFLEX ACCENT	Uni.: 5.1; MUFI: 3.0
005F	lowbar	LOW LINE	Uni.: 5.1; MUFI: 3.0
0060	grave	GRAVE ACCENT	Uni.: 5.1; MUFI: 3.0
007B	lcub	LEFT CURLY BRACKET	Uni.: 5.1; MUFI: 3.0
007C	verbar	VERTICAL LINE	Uni.: 5.1; MUFI: 3.0
007D	rcub	RIGHT CURLY BRACKET	Uni.: 5.1; MUFI: 3.0
007E	tld	TILDE	Uni.: 5.1; MUFI: 3.0
007F	del	DELETE	Uni.: ; MUFI: 4.0 auto
00A0	nbsp	NO-BREAK SPACE	Uni.: 5.1; MUFI: 3.0
00A1	iexcl	INVERTED EXCLAMATION MARK	Uni.: 5.1; MUFI: 3.0
00A2	cent	CENT SIGN	Uni.: 5.1; MUFI: 3.0
00A3	pound	POUND SIGN	Uni.: 5.1; MUFI: 3.0
00A4	curren	CURRENCY SIGN	Uni.: 5.1; MUFI: 3.0
00A5	yen	YEN SIGN	Uni.: 5.1; MUFI: 3.0
00A6	brvbar	BROKEN BAR	Uni.: 5.1; MUFI: 3.0
00A7	sect	SECTION SIGN	Uni.: 5.1; MUFI: 3.0
00A8	uml	DIAERESIS	Uni.: 5.1; MUFI: 3.0
00A9	copy	COPYRIGHT SIGN	Uni.: 5.1; MUFI: 3.0
00AA	ordf	FEMININE ORDINAL INDICATOR	Uni.: 5.1; MUFI: 3.0
00AB	laquo	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	Uni.: 5.1; MUFI: 3.0
00AC	not	NOT SIGN	Uni.: 5.1; MUFI: 3.0
00AD	shy	SOFT HYPHEN	Uni.: 5.1; MUFI: 3.0
00AE	reg	REGISTERED SIGN	Uni.: 5.1; MUFI: 3.0
00AF	macr	MACRON	Uni.: ; MUFI: 4.0 auto
00B0	deg	DEGREE SIGN	Uni.: 5.1; MUFI: 3.0
00B1	plusmn	PLUS-MINUS SIGN	Uni.: 5.1; MUFI: 3.0
00B2	sup2	SUPERSCRIPT TWO	Uni.: 5.1; MUFI: 3.0
00B3	sup3	SUPERSCRIPT THREE	Uni.: 5.1; MUFI: 3.0
00B4	acute	ACUTE ACCENT	Uni.: ; MUFI: 4.0 auto
00B5	micro	MICRO SIGN	Uni.: 5.1; MUFI: 3.0
00B6	para	PILCROW SIGN	Uni.: 5.1; MUFI: 3.0
00B7	middot	MIDDLE DOT	Uni.: 5.1; MUFI: 3.0
00B8	cedil	CEDILLA	Uni.: ; MUFI: 4.0 auto
00B9	sup1	SUPERSCRIPT ONE	Uni.: 5.1; MUFI: 3.0
00BA	ordm	MASCULINE ORDINAL INDICATOR	Uni.: 5.1; MUFI: 3.0
00BB	raquo	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	Uni.: 5.1; MUFI: 3.0
00BC	frac14	VULGAR FRACTION ONE QUARTER	Uni.: 5.1; MUFI: 3.0
00BD	frac12	VULGAR FRACTION ONE HALF	Uni.: 5.1; MUFI: 3.0
00BE	frac34	VULGAR FRACTION THREE QUARTERS	Uni.: 5.1; MUFI: 3.0
00BF	iquest	INVERTED QUESTION MARK	Uni.: 5.1; MUFI: 3.0
00C0	Agrave	LATIN CAPITAL LETTER A WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00C1	Aacute	LATIN CAPITAL LETTER A WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00C2	Acirc	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00C3	Atilde	LATIN CAPITAL LETTER A WITH TILDE	Uni.: 5.1; MUFI: 3.0
00C4	Auml	LATIN CAPITAL LETTER A WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00C5	Aring	LATIN CAPITAL LETTER A WITH RING ABOVE	Uni.: 5.1; MUFI: 3.0
00C6	AElig	LATIN CAPITAL LETTER AE	Uni.: 5.1; MUFI: 3.0
00C7	Ccedil	LATIN CAPITAL LETTER C WITH CEDILLA	Uni.: 5.1; MUFI: 3.0
00C8	Egrave	LATIN CAPITAL LETTER E WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00C9	Eacute	LATIN CAPITAL LETTER E WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00CA	Ecirc	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00CB	Euml	LATIN CAPITAL LETTER E WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00CC	Igrave	LATIN CAPITAL LETTER I WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00CD	Iacute	LATIN CAPITAL LETTER I WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00CE	Icirc	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00CF	Iuml	LATIN CAPITAL LETTER I WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00D0	ETH	LATIN CAPITAL LETTER ETH	Uni.: 5.1; MUFI: 3.0
00D1	Ntilde	LATIN CAPITAL LETTER N WITH TILDE	Uni.: 5.1; MUFI: 3.0
00D2	Ograve	LATIN CAPITAL LETTER O WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00D3	Oacute	LATIN CAPITAL LETTER O WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00D4	Ocirc	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00D5	Otilde	LATIN CAPITAL LETTER O WITH TILDE	Uni.: 5.1; MUFI: 3.0
00D6	Ouml	LATIN CAPITAL LETTER O WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00D7	times	MULTIPLICATION SIGN	Uni.: 5.1; MUFI: 3.0
00D8	Oslash	LATIN CAPITAL LETTER O WITH STROKE	Uni.: 5.1; MUFI: 3.0
00D9	Ugrave	LATIN CAPITAL LETTER U WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00DA	Uacute	LATIN CAPITAL LETTER U WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00DB	Ucirc	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00DC	Uuml	LATIN CAPITAL LETTER U WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00DD	Yacute	LATIN CAPITAL LETTER Y WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00DE	THORN	LATIN CAPITAL LETTER THORN	Uni.: 5.1; MUFI: 3.0
00DF	szlig	LATIN SMALL LETTER SHARP S	Uni.: 5.1; MUFI: 3.0
00E0	agrave	LATIN SMALL LETTER A WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00E1	aacute	LATIN SMALL LETTER A WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00E2	acirc	LATIN SMALL LETTER A WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
